word,Positive,Negative
danh nhân,1,0
danh tiếng,1,0
nghệ thuật nhạc kịch,0,0
sự nổi tiếng,1,1
bất tận,0,0
bệnh dịch,0,1
bỏ cuộc,0,1
bùng nổ,0,0
cường điệu,1,0
dơ,0,1
giáo dục,1,0
lãng mạng,1,0
mơ mộng,1,0
nghỉ hưu,0,0
ngừng hoạt động,0,1
nhơ,0,1
nuôi nấng,1,0
trộm,0,1
ác nghiệt,0,1
bão,0,1
bất khuất,1,0
bị đối xử tàn tệ,0,1
bị lạm dụng,0,1
bị ngược đãi,0,1
buộc,0,0
cao nhất,0,0
cầu xin,0,0
chém giết,0,1
chênh lệch,0,0
có tiền,1,0
của cải,1,0
cướp bóc,0,1
cướp giật,0,1
đám chìm,0,0
đích đến,1,0
diễu hành,0,0
đổ máu,0,1
dông tố,0,1
duyệt binh,1,1
ghê gớm,0,1
gợi cảm,1,1
ham muốn,1,1
kết hôn,1,0
khẩn cầu,1,0
không chính đáng,0,1
không hợp pháp,0,1
không kiềm chế,1,1
kích thích,1,0
lãng trí,0,1
lấy chồng,1,0
lấy vợ,1,0
lớn nhất,1,1
mải mê,1,0
nguyện cầu,1,0
nhẫn tâm,0,1
nhơ bẩn,0,1
nhục dục,1,1
phô trương,0,0
tàn nhẫn,0,1
thả lỏng,0,0
thắng,1,0
thanh Xuân,1,0
thắt,1,1
tiền bạc,1,0
tiền mặt,1,0
tốt nghiệp,1,0
tra khảo,0,1
tra tấn,0,1
trốn tránh,0,1
tuổi trẻ,1,0
vô địch,1,0
vô gia cư,0,1
vô thể,0,0
vụng trộm,0,1
ầm ỹ,1,1
ao ước,1,1
bà đỡ,1,1
bà mụ,1,1
ban nhạc,0,0
bất hợp pháp,0,1
bất hợp tác,0,1
bất lợi,0,1
bất mãn,0,1
bất tử,1,0
bày tỏ,1,0
bị biến dạng,0,1
bị co giật,0,1
bị co rút,0,1
bị kích thích,0,0
bị tàn phá,0,1
bình minh,1,0
bỏ đi,0,1
bỏ rơi,0,1
bổ sung,1,0
bỏ trốn,0,1
bồi thường,1,0
bom,0,1
bù lại,1,0
ca ngợi,1,0
cả tin,0,1
ca tụng,1,0
cầm tù,0,1
cao đỉnh,1,0
cao trào,1,0
cay độc,0,1
chê,0,1
